MazeType,Time (ms),Width,Height
Debug-RecursiveMazeGen-97,0.2611,97,97
Debug-HuntKillMazeGen-97,0.5925,97,97
Debug-RecursiveMazeGen-99,0.2599,99,99
Debug-HuntKillMazeGen-99,1.1075,99,99
Debug-RecursiveMazeGen-101,0.2745,101,101
Debug-HuntKillMazeGen-101,0.9618,101,101
Debug-RecursiveMazeGen-103,0.5082,103,103
Debug-HuntKillMazeGen-103,0.8385,103,103
Debug-RecursiveMazeGen-105,0.2792,105,105
Debug-HuntKillMazeGen-105,0.7531,105,105
Debug-RecursiveMazeGen-107,0.2826,107,107
Debug-HuntKillMazeGen-107,1.5107,107,107
Debug-RecursiveMazeGen-109,0.4168,109,109
Debug-HuntKillMazeGen-109,0.9175,109,109
Debug-RecursiveMazeGen-111,0.3514,111,111
Debug-HuntKillMazeGen-111,0.8024,111,111
Debug-RecursiveMazeGen-113,0.3573,113,113
Debug-HuntKillMazeGen-113,0.7898,113,113
Debug-RecursiveMazeGen-115,0.3377,115,115
Debug-HuntKillMazeGen-115,1.5012,115,115
Debug-RecursiveMazeGen-117,0.3471,117,117
Debug-HuntKillMazeGen-117,0.8515,117,117
Debug-RecursiveMazeGen-119,0.3934,119,119
Debug-HuntKillMazeGen-119,2.0074,119,119
Debug-RecursiveMazeGen-121,1.3375,121,121
Debug-HuntKillMazeGen-121,1.5853,121,121
Debug-RecursiveMazeGen-123,0.3756,123,123
Debug-HuntKillMazeGen-123,0.9773,123,123
Debug-RecursiveMazeGen-125,0.3931,125,125
Debug-HuntKillMazeGen-125,1.2583,125,125
Debug-RecursiveMazeGen-127,0.4617,127,127
Debug-HuntKillMazeGen-127,1.0439,127,127
Debug-RecursiveMazeGen-129,1.1367,129,129
Debug-HuntKillMazeGen-129,1.1426,129,129
Debug-RecursiveMazeGen-131,0.4348,131,131
Debug-HuntKillMazeGen-131,1.0551,131,131
Debug-RecursiveMazeGen-133,0.5566,133,133
Debug-HuntKillMazeGen-133,1.2498,133,133
Debug-RecursiveMazeGen-135,3.0357,135,135
Debug-HuntKillMazeGen-135,1.1385,135,135
Debug-RecursiveMazeGen-137,0.4771,137,137
Debug-HuntKillMazeGen-137,1.5602,137,137
Debug-RecursiveMazeGen-139,0.4944,139,139
Debug-HuntKillMazeGen-139,1.5116,139,139
Debug-RecursiveMazeGen-141,1.0361,141,141
Debug-HuntKillMazeGen-141,1.2448,141,141
Debug-RecursiveMazeGen-143,0.5107,143,143
Debug-HuntKillMazeGen-143,1.4654,143,143
Debug-RecursiveMazeGen-145,0.5478,145,145
Debug-HuntKillMazeGen-145,1.3402,145,145
Debug-RecursiveMazeGen-147,1.6659,147,147
Debug-HuntKillMazeGen-147,1.341,147,147
Debug-RecursiveMazeGen-149,0.5925,149,149
Debug-HuntKillMazeGen-149,1.8626,149,149
Debug-RecursiveMazeGen-151,0.5684,151,151
Debug-HuntKillMazeGen-151,1.4348,151,151
Debug-RecursiveMazeGen-153,1.0515,153,153
Debug-HuntKillMazeGen-153,1.5253,153,153
Debug-RecursiveMazeGen-155,0.6031,155,155
Debug-HuntKillMazeGen-155,1.9548,155,155
Debug-RecursiveMazeGen-157,0.7809,157,157
Debug-HuntKillMazeGen-157,1.5559,157,157
Debug-RecursiveMazeGen-159,1.2335,159,159
Debug-HuntKillMazeGen-159,2.3188,159,159
Debug-RecursiveMazeGen-161,0.7626,161,161
Debug-HuntKillMazeGen-161,1.9097,161,161
Debug-RecursiveMazeGen-163,0.6491,163,163
Debug-HuntKillMazeGen-163,1.6563,163,163
Debug-RecursiveMazeGen-165,1.1984,165,165
Debug-HuntKillMazeGen-165,2.6262,165,165
Debug-RecursiveMazeGen-167,1.3298,167,167
Debug-HuntKillMazeGen-167,1.7314,167,167
Debug-RecursiveMazeGen-169,0.7227,169,169
Debug-HuntKillMazeGen-169,1.924,169,169
Debug-RecursiveMazeGen-171,0.7796,171,171
Debug-HuntKillMazeGen-171,4.2954,171,171
